0, 0.253903 0.019406 -1.329235 -0.047328 -0.211058 -0.636746 -0.272617 0.331938 0.499532 0.245137 0.145814 0.147249 0.369528;
1, -0.108324 -1.298871 -1.53423 -0.309053 -0.651682 -1.077183 -0.459694 0.025926 0.414715 0.320701 0.101401 -0.274578 1.322733;
2, 0.771308 -0.132907 -0.437889 0.545781 -0.098049 -0.923067 -0.472906 -0.420989 -0.236201 -0.374834 -0.433044 -0.447368 0.804008;
3, -0.738946 -0.7204 -1.269992 -0.148336 0.305747 -0.401848 -0.421282 -0.363198 0.141329 0.233747 -0.316629 -0.802827 0.795;
4, -1.351859 0.220576 -1.202893 -0.29566 0.12209 -0.47941 -0.209445 -0.244154 -0.727612 -1.037354 -0.852276 -0.705587 1.721232;
5, -0.710196 0.201135 -1.032963 -0.282934 -0.153609 -0.531757 -0.415638 -0.580235 -0.752082 -1.464205 -0.962186 -0.576974 1.552331;
6, -1.502586 -0.256061 -1.817497 -0.424206 0.223788 -0.118887 -0.567023 -1.262299 -0.869658 -0.299554 -0.421345 -0.717392 1.001042;
7, -0.858745 -0.167522 -1.534939 -0.691008 0.014254 -0.65345 -0.819867 -0.937452 -0.978537 -0.254904 -0.29751 -0.520869 1.307133;
8, -0.736956 -0.664426 -1.368889 -0.02619 0.479667 -0.003998 -0.20926 -1.084115 -1.280301 -0.0561 -0.419615 -0.827724 0.520983;
9, 0.071416 0.363159 -1.105384 -0.077317 -0.404824 -0.513569 -0.737782 -0.593885 -0.934038 -0.936561 -0.752683 -0.623052 1.329496;
10, -0.663991 -0.074533 -1.449113 -0.260508 0.021782 -0.688506 -0.364293 -0.592189 -0.423073 -1.230526 -1.261256 -0.6793 2.065052;
11, -0.890041 -0.282891 -1.115536 0.056793 0.088976 -0.317723 -0.412675 -0.966761 -0.825694 -1.500012 -0.928831 -0.814007 2.064783;
12, -0.296661 0.204031 -1.001063 0.247417 0.334729 -0.18857 -0.127298 -0.305482 -0.524311 -1.641952 -0.821417 -0.61529 0.983193;
13, -0.063573 -0.192541 -0.800726 0.034259 -0.060185 -0.32299 -0.233283 -0.399044 -0.965341 -1.571868 -0.894102 -0.625594 0.943888;
14, -0.122235 -0.442446 -0.896755 -0.126993 0.041651 -0.646589 -0.641548 -1.167891 -0.757718 -0.485512 -0.255467 -0.220078 1.067356;
15, -0.493975 -0.780415 -1.915489 -0.152015 0.144257 -0.783767 -0.456595 -1.689616 -0.776392 -0.342703 -0.331777 0.17287 0.409814;
16, -0.762392 -0.28011 -1.12244 -0.680013 -0.163692 -0.707375 -0.342509 -1.491483 -0.788765 -0.095797 -0.391531 0.022515 0.4947;
17, -0.392543 -0.529111 -1.932523 -0.650696 0.087652 -0.63691 -0.843993 -1.887765 -0.989434 0.159988 -0.108966 -0.154701 0.461144;
18, -0.753448 -0.488094 -1.826272 -0.695356 -0.411983 -1.213135 -0.758532 -1.740009 -0.763143 -0.272559 -0.294731 0.171323 1.342919;
19, -0.754687 -0.894908 -2.077515 -0.987768 0.418607 -0.296893 -0.170609 -1.318431 -0.490228 -0.162297 0.441915 -0.040813 0.379063;
20, -0.794682 -0.693842 -2.463706 -0.425456 -0.355829 -0.827242 -0.377006 -1.739403 -0.447695 -0.419559 -0.19083 0.627599 0.826132;
21, -1.284664 -0.260403 -1.991981 -0.362132 0.247292 -0.166976 -0.383733 -1.389471 -0.741648 -0.260643 0.125227 -0.055187 1.089576;
22, -1.349491 -0.178741 -2.032892 -0.554334 0.162106 -0.135146 -0.782337 -1.553411 -0.789213 -0.193846 0.510548 0.022915 1.259984;
23, -1.328265 -0.280748 -1.840269 -0.058055 0.110811 -0.219691 -0.441416 -0.77302 -0.219851 -0.006643 0.429946 0.489674 1.042151;
24, -0.859161 0.157213 -1.901214 -0.448808 -0.198372 -0.342832 -0.029335 -0.171107 -0.574487 -0.326816 0.504009 0.06518 1.451106;
25, -1.23311 -0.342155 -0.625382 -0.046386 -0.479264 -0.213387 -1.042704 -1.018394 0.000868 -0.040942 0.218568 0.238953 0.201046;
26, -1.573916 -0.774465 -1.079772 0.644283 1.053258 -1.241202 -1.48722 -0.31671 -0.215962 0.209866 0.908227 0.057655 0.352362;
27, 0.142668 0.03698 -0.405915 0.306131 0.184426 -0.512558 -0.844434 -0.556887 -0.021723 -0.089991 0.045488 0.41128 1.402175;
28, -0.980214 -0.932001 -1.627829 -0.443571 0.35567 -0.954355 -1.432323 -0.32832 0.093854 -0.366733 0.534903 0.305339 1.19896;
29, -1.376265 -0.448691 -2.286265 0.168306 0.807749 -0.393662 -0.991024 -1.707841 -0.190718 -0.439519 -0.814289 0.271579 1.554573;
30, -1.334504 -1.290513 -2.624803 -1.062231 0.627631 -0.55825 -1.296958 -1.143496 -0.480829 0.007295 0.733444 0.805574 0.707862;
31, 0.191004 -0.759458 -1.156634 -0.075508 0.112883 -0.57554 -0.983264 -0.781164 -0.440343 -0.734821 -0.279011 -0.029575 2.069169;
32, -1.044643 -1.043565 -1.980261 -0.347035 0.214568 -1.133498 -1.74056 -0.604818 -0.433914 -0.32832 -0.260231 -0.188707 0.96457;
33, -0.562169 -0.105208 -0.972478 -0.268905 -0.430748 -0.737046 -0.143767 0.010454 -0.681789 -1.328634 -0.44374 0.036092 1.330952;
34, -0.634606 0.120713 -1.829482 0.208953 0.009995 -0.620994 -0.745671 -1.521819 -0.814892 -0.627164 0.017871 0.131662 1.476469;
35, -1.331655 -0.164981 -1.163593 -0.394402 -0.807523 -1.136042 -0.574396 -0.685317 -0.895604 -1.613934 -0.958116 -0.383485 1.906077;
36, -1.201886 0.628722 -0.918929 -0.149848 -0.10055 -0.493318 -1.041874 -1.042493 -0.540831 -0.942431 -0.329513 -0.853217 1.238339;
37, -1.900908 0.338909 -1.39861 -0.515313 -1.056729 -1.02178 -0.584555 -0.154879 -0.634168 -1.559762 -0.709266 -0.070719 1.529404;
38, -1.765339 -0.148816 -1.386133 -0.538033 -1.358221 -0.73136 -1.2006 -0.592562 -0.514867 -1.61965 -0.771267 -0.402645 1.766704;
39, -1.099206 -0.155727 -0.422919 -0.143452 -0.659293 -0.691731 -1.145862 -1.454311 -0.573065 -0.309945 0.037282 -0.976085 2.073598;
40, -0.236786 -0.78523 -0.637957 0.043505 -0.456745 -0.909823 -1.008873 -1.222977 -0.500363 -0.417479 -0.193732 -0.689761 1.935785;
