0, -0.467206 -1.168883 0.238828 0.962512 -0.251997 -0.058029 -0.034806 -0.068425 -0.120878 -0.071641 0.039182 -0.047044 -0.059897 -0.031782 0.117767 -0.027362 -0.034973 0.071473 -0.050707 -0.040344 0.009002 0.057949 -0.021294 0.091661 -0.034044 0.009763 -0.063063 0.096366 -0.018629 0.004398 0.058164 0.024373 -0.586596 -0.035942 -0.55115 -0.536123 -0.501539 -0.320809 -0.531238 -0.546639 -0.535187 -0.51128 2.335813 0.297997 -0.711611 -0.637216 -0.641702 -0.750373 -0.688031 -0.468911 -0.723704 -0.73551 -0.640382 -0.700746 1.216283 1.923562 -0.997716 -0.941671 -0.90961;
1, 0.372883 -0.053472 0.379436 0.408509 1.058813 0.030698 -0.01144 0.005994 -0.019055 -0.030662 -0.022067 0.036828 0.057737 0.012042 0.012842 0.010668 -0.020872 -0.021336 0.008475 0.012059 0.036289 -0.021782 0.068605 0.002213 -0.047238 0.007812 0.018336 0.015136 -0.008652 -0.015664 0.002881 0.552412 0.061988 -0.487712 -0.492715 -0.404473 -0.489731 -0.29738 -0.417161 -0.525827 -0.499864 -0.170858 1.656834 1.331816 -0.425873 -0.553028 -0.560965 -0.380769 -0.610718 -0.206309 -0.34341 -0.653968 -0.535301 -0.009298 2.008164 1.872069 -0.096481 -0.455668 -0.576962;
2, -0.390507 0.126174 0.628175 -0.117741 1.294742 0.058321 0.067071 0.072292 0.060846 0.042741 -0.014712 0.006446 0.050547 0.024363 -0.035113 -0.021254 -0.019853 -0.033163 -0.002228 0.028426 0.039246 -0.00474 0.004719 -0.042456 -0.006283 0.002986 -0.026507 -0.015567 0.048863 0.041797 0.011486 0.554339 1.053862 -0.566799 0.148979 -0.445111 -0.469945 -0.41686 -0.524515 -0.517844 -0.432381 0.901725 2.098296 1.324789 -0.342591 -0.579366 -0.549651 -0.508601 -0.597225 -0.393301 -0.691739 -0.682959 -0.478481 0.741674 1.211336 1.407142 -0.388061 -0.78968 -0.730116;
3, 1.666637 1.581476 0.350545 -0.948992 0.79642 0.078662 0.079052 0.034423 0.055754 0.03047 -0.011931 -0.040937 0.017296 0.017581 -0.016506 -0.023059 -0.031176 -0.036805 0.142812 0.131629 0.003776 -0.055904 0.008803 0.110153 0.095634 -0.00039 0.063297 0.04099 0.067471 0.065121 0.053808 1.017424 2.123538 -0.484421 0.812525 -0.449837 -0.274373 -0.500375 -0.518302 -0.533452 -0.168742 2.386172 1.74905 -0.579979 -0.734706 -0.605889 -0.441201 0.193613 0.633127 -0.561995 -0.456171 -0.629752 0.394966 2.291568 1.785751 -0.706823 -0.809993 -0.81554 0.207536;
4, 0.351657 0.418082 0.161041 -0.318844 -0.19162 0.065708 -0.034822 -0.016061 0.004269 -0.012737 0.009162 0.024284 -0.006939 0.004297 -0.015653 -0.014821 -0.044593 -0.013734 0.047835 -0.000081 0.060148 -0.050048 -0.001557 -0.014946 -0.036955 -0.031899 -0.043823 -0.01953 0.019137 0.046285 0.039594 0.920923 0.382724 -0.540399 -0.441632 -0.463241 -0.403605 -0.156912 -0.499706 -0.446268 -0.118734 0.835476 2.371963 -0.349449 -0.726273 -0.573877 -0.548645 -0.337046 -0.304509 0.334897 -0.430121 -0.180198 1.221223 2.210844 0.942344 -0.220848 -0.920284 -0.69256 -0.684325;
5, -0.210198 -0.282685 0.750166 1.005975 0.109731 0.079026 -0.078804 -0.040331 -0.076153 -0.079694 -0.018931 -0.016238 -0.039418 -0.005536 0.022379 0.01885 -0.0165 0.020448 0.031437 0.039892 0.107588 0.04117 0.087654 -0.013119 -0.021752 -0.059074 -0.043813 -0.004907 -0.019669 0.128867 0.030967 0.748255 0.379308 -0.335237 -0.097765 -0.32665 -0.413323 0.119226 -0.44177 -0.290341 0.09172 0.247705 2.604523 -0.414683 -0.734148 -0.6203 -0.373504 -0.102113 -0.334013 0.55167 -0.345131 0.269577 2.066829 1.123807 0.369733 -0.467901 -0.972801 -0.850858 -0.314786;
6, -0.371006 -1.435913 0.754416 1.492698 0.971896 -0.040559 -0.039743 -0.059282 -0.062302 -0.033799 0.042184 0.04067 -0.019661 -0.063263 0.001151 0.012202 0.006264 0.036673 -0.064675 0.002746 0.003847 -0.004003 0.010481 -0.015519 -0.02916 0.000124 0.009021 0.015361 -0.017508 0.03381 0.026533 0.043218 -0.411452 -0.158898 -0.389495 -0.397217 -0.458405 0.889176 -0.46448 -0.371385 -0.090969 0.057615 2.666827 -0.400924 -0.633291 -0.570697 -0.57211 -0.178783 -0.537418 1.040934 -0.457233 0.04909 1.632288 0.399058 0.343412 -0.419352 -0.742001 -0.70939 -0.678978;
7, -0.369253 -0.823799 -0.12848 0.606247 0.070491 -0.012225 -0.091633 -0.0919 -0.076144 -0.002646 0.006956 0.084889 0.009008 -0.102708 -0.05845 0.033965 0.06868 0.018314 -0.051866 0.01865 0.009507 -0.012646 0.00364 -0.037366 0.016251 -0.040455 -0.036705 0.012187 -0.06024 -0.006233 -0.038801 -0.111717 -0.58825 -0.061408 -0.547357 -0.482463 -0.469639 1.124838 -0.491366 -0.412965 -0.214636 -0.163721 2.735591 -0.506568 -0.539623 -0.512678 -0.446634 -0.496604 -0.547693 0.367045 -0.490442 -0.080262 1.101215 0.390526 -0.067564 -0.292037 -0.133364 -0.355303 -0.114893;
8, -0.656534 -1.446314 0.071993 1.174765 0.019887 -0.058028 -0.055454 -0.091559 -0.044891 0.022209 0.070789 0.116805 -0.001725 -0.145563 -0.028012 -0.013611 0.062247 0.044437 -0.082299 -0.007621 -0.069148 0.01771 -0.026178 -0.060153 0.071092 -0.007927 0.063084 -0.003644 -0.04078 0.009867 -0.012192 -0.225278 -0.585097 0.459531 0.345377 -0.406562 -0.432304 2.263527 -0.480516 -0.46876 -0.335498 -0.021831 2.659525 -0.451773 -0.587844 -0.561097 -0.446954 -0.00211 -0.49857 1.323622 -0.562189 -0.41334 0.400354 0.365249 -0.74173 -0.374848 -0.613842 -0.622268 -0.046844;
9, -0.431101 -0.710852 -0.271009 0.285985 -0.283689 -0.06052 -0.053095 -0.17789 -0.15079 -0.067985 0.079891 0.056691 -0.04825 -0.062068 0.039388 0.021032 0.066414 0.065574 -0.060409 -0.017898 -0.036638 0.034247 0.032534 0.010941 0.02725 -0.042285 -0.052772 -0.008632 -0.029792 0.017215 -0.017744 -0.170245 -0.637834 0.353066 0.059261 -0.449347 -0.469217 2.96422 -0.495366 -0.53216 -0.432519 -0.414091 2.461174 -0.703151 -0.759662 -0.64645 -0.641995 -0.128936 -0.604746 1.208808 -0.687769 -0.638148 0.063102 -0.448072 -0.246139 -1.057898 -1.084052 -0.949739 -0.894989;
